ElBaradei	NNP
mengatakan	VP
kekerasan	NN
tak	CW
bisa	VP
dikesampingkan	VP
,	AUX
tapi	CW
pengalaman	NN
masa lalu	NN
telah	VP
memperlihatkan	VP
itu	CW
tak	CW
boleh	VP
digunakan	VP
secara	CW
tergesa-gesa	JJ
,	AUX
ia	NN
merujuk	VP
kepada	CW
Irak	NNP
,	AUX
tempat	NN
tak	CW
ada	VP
bukti	NN
yang	CW
ditemukan	VP
mengenai	CW
senjata nuklir	NN
setelah	CW
serbuan	NN
pimpinan	NN
AS	NNP
.	AUX

Saya	NN
yakin	JJ
satu-satunya	JJ
cara	NN
untuk	CW
maju	VP
di	CW
Iran	NNP
ialah	VP
hubungan	NN
,	AUX
kata	VP
ElBaradei	NNP
.	AUX
Kita	NN
harus	VP
menanam modal	VP
pada	CW
perdamaian	NN
,	AUX
kata	VP
-nya	NN
.	AUX

Ditambahkan	VP
-nya	NN
,	AUX
kalau	CW
masyarakat	NN
internasional	JJ
gagal	JJ
melakukan	VP
itu	CW
,	AUX
konsekuensi	NN
-nya	NN
akan	VP
10	NUM
kali	NN
lebih	CW
buruk	JJ
.	AUX

Saya	NN
harap	VP
kita	NN
akan	VP
berhenti	VP
berbicara	VP
mengenai	CW
pilihan	NN
militer	NN
dan	CW
memusatkan	VP
perhatian	NN
pada	CW
pencarian	NN
penyelesaian	NN
,	AUX
kata	VP
ElBaradei	NNP
.	AUX

Iran	NNP
menyatakan	VP
negara	NN
itu	CW
memerlukan	VP
tenaga nuklir	NN
untuk	CW
menghasilkan	VP
listrik	NN
,	AUX
tapi	CW
Barat	NNP
khawatir	JJ
Teheran	NNP
secara	CW
diam-diam	CW
berusaha	VP
membuat	VP
bom atom	NN
.	AUX

Pada	CW
Desember	NNP
,	AUX
PBB	NNP
menjatuhkan	VP
sanksi	NN
atas	CW
perdagangan	NN
bahan	NN
nuklir	NN
peka	JJ
kepada	CW
Iran	NNP
dan	CW
teknologi	NN
untuk	CW
berusaha	VP
dan	CW
menghentikan	VP
kegiatan	NN
pengayaan	NN
yang	CW
dapat	VP
menghasilkan	VP
bahan	NN
bom	NN
.	AUX

Militer	NN
Lebanon	NNP
Kamis	NNP
mengumumkan	VP
diberlakukan	VP
-nya	NN
jam malam	NN
di	CW
Beirut	NNP
setelah	CW
sedikitnya	CW
empat	NUM
orang	NN
tewas	VP
dalam	CW
bentrokan	NN
antara	CW
para	CW
pegiat	NN
pro	JJ
dan	CW
anti	JJ
-	AUX
pemerintah	NN
.	AUX

Jam	NN
malam	NN
akan	VP
berlaku	VP
efektif	JJ
pada	CW
pukul	NN
8	NUM
:	AUX
30	NUM
sore	NN
Kamis	NNP
dan	CW
akan	VP
berakhir	VP
sampai	CW
pukul	NN
6	NUM
:	AUX
0	NUM
pagi	NN
waktu	NN
setempat	NN
Jumat	NNP
,	AUX
kata	VP
seorang	NN
juru bicara	NN
militer	NN
.	AUX

Dua	NUM
mahasiswa	NN
oposisi	NN
dan	CW
dua	NUM
orang	NN
lain	JJ
-nya	NN
tewas	VP
ditembak	VP
dan	CW
100	NUM
orang	NN
lain	JJ
-nya	NN
cedera	JJ
,	AUX
kebanyakan	NUM
karena	CW
serangan	NN
senjata api	NN
di	CW
Universitas	NNP
Arab	NNP
Beirut	NNP
,	AUX
demikian	CW
dilaporkan	VP
Reuters	NNP
,	AUX
mengutip	VP
sumber-sumber	NN
keamanan	NN
.	AUX

Pertempuran	NN
meletus	VP
antara	CW
mahasiswa-mahasiswa	NN
dengan	CW
menggunakan	VP
pentungan	NN
dan	CW
batu	NN
di	CW
kampus	NN
universitas	NN
tersebut	CW
,	AUX
kemudian	CW
menyebar	VP
ke	CW
jalan-jalan	NN
terdekat	JJ
,	AUX
demikian	CW
laporan	NN
tersebut	CW
.	AUX

Orang	NN
bersenjata	VP
membunuh	VP
seorang	NN
aktivis	NN
yang	CW
berhubungan	VP
dengan	CW
kelompok	NN
militan	JJ
Fatah	NNP
Brigade	NNP
Syahid	NNP
Al	NNP
Aqsa	NNP
di	CW
Gaza	NNP
Jumat	NNP
pagi	NN
,	AUX
kata	VP
