Kera	NN
untuk	CW
amankan	VP
pesta olahraga	NN

Pemerintah	NNP
kota	NNP
Delhi	NNP
mengerahkan	VP
monyet	NN
untuk	CW
mengusir	VP
monyet-monyet	NN
lain	JJ
yang	CW
berbadan	VP
lebih	CW
kecil	JJ
dari	CW
arena	NN
Pesta Olahraga	NNP
Persemakmuran	NNP
.	AUX

Beberapa	NUM
laporan	NN
menyebutkan	VP
setidaknya	CW
10	NUM
monyet	NN
ditempatkan	VP
di	CW
luar	NN
arena	NN
lomba	NN
dan	CW
pertandingan	NN
di	CW
ibukota	NNP
India	NNP
.	AUX

Pemkot	NNP
Delhi	NNP
memiliki	VP
28	NUM
monyet	NN
dan	CW
berencana	VP
mendatangkan	VP
10	NUM
monyet	NN
sejenis	NN
dari	CW
negara bagian	NNP
Rajasthan	NNP
.	AUX

Jumlah	NN
monyet	NN
di	CW
ibukota	NNP
India	NNP
mencapai	VP
ribuan	NUM
,	AUX
sebagian besar	NN
berada	VP
di	CW
kantor-kantor	NN
pemerintah	NN
dan	CW
hewan	NN
ini	CW
dianggap	VP
mengganggu	VP
ketertiban	NN
umum	JJ
.	AUX

Monyet	NN
ini	CW
diikat	VP
dengan	CW
tali	NN
panjang	JJ
dan	CW
pelatih	NN
yang	CW
mengawasi	VP
mereka	NN
akan	VP
melepas	VP
tali	NN
begitu	CW
monyet-monyet	NN
kecil	JJ
lain	JJ
mendekat	VP
.	AUX

Kantor	NNP
berita	NNP
AFP	NNP
melaporkan	VP
stadion	NN
tinju	NN
dan	CW
hockey	AUX
mendapatkan	VP
perhatian	NN
khusus	JJ
karena	CW
sering	CW
diserbu	VP
monyet	NN
.	AUX

"	AUX
Monyet	NN
besar	JJ
akan	VP
dikerahkan	VP
di	CW
dua	NUM
stadion	NN
untuk	CW
mengusir	VP
serbuan	NN
monyet	NN
kecil	JJ

"	AUX
Monyet	NN
besar	JJ
akan	VP
dikerahkan	VP
di	CW
dua	NUM
stadion	NN
tersebut	CW
untuk	CW
mengusir	VP
serbuan	NN
monyet	NN
kecil	JJ
,	AUX
